	BIOCHEMICAL	SUPER PATHWAY	Pathway	Feature	PLATFORM	CHEMICAL ID	RT	MZ	PUBCHEM	CAS	HMDB_ID	KEGG
32388	dodecanedioate (C12)	Lipid	"Fatty Acid, Dicarboxylate"	dodecanedioate (C12)	LC/MS Neg	100001102	2990	229.1445	12736	693-23-2	HMDB00623	C02678
48407	dopamine 3-O-sulfate	Amino Acid	Tyrosine Metabolism	dopamine 3-O-sulfate	LC/MS Neg	100006361	1556.2	232.0285	122136		HMDB06275	C13690
35651	ectoine	Xenobiotics	Chemical	ectoine	LC/MS Pos Early	100001635	1980	143.0815	126041	96702-03-3		C06231
22163	EDTA	Xenobiotics	Chemical	EDTA	LC/MS Pos Early	100001002	875	293.098	6049	60-00-4	HMDB15109	C00284
39831	eicosanedioate (C20-DC)	Lipid	"Fatty Acid, Dicarboxylate"	eicosanedioate (C20-DC)	LC/MS Neg	100002951	5200.9	341.2697	75502	2424-92-2		
18467	eicosapentaenoate (EPA; 20:5n3)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	eicosapentaenoate (EPA; 20:5n3)	LC/MS Neg	2050	5450	301.2173	446284	10-2005-9;10417-94-4	HMDB01999	C06428
62923	eicosenedioate (C20:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	eicosenedioate (C20:1-DC)*	LC/MS Neg	100021105	5095	339.2541				
33587	eicosenoate (20:1n9 or 1n11)	Lipid	Long Chain Monounsaturated Fatty Acid	eicosenoate (20:1n9 or 1n11)	LC/MS Neg	100001335	5950	309.2799	5282768		HMDB02231	C16526
57519	eicosenoylcarnitine (C20:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	eicosenoylcarnitine (C20:1)*	LC/MS Pos Late	100015838	1484	454.3891				
33973	epiandrosterone sulfate	Lipid	Androgenic Steroids	epiandrosterone sulfate	LC/MS Neg	100001287	4855	369.1741	9929317	22229-22-7		
37459	ergothioneine	Xenobiotics	Food Component/Plant	ergothioneine	LC/MS Pos Early	100002154	850	230.0958	3032311	58511-63-0	HMDB03045	C05570
1552	erucate (22:1n9)	Lipid	Long Chain Monounsaturated Fatty Acid	erucate (22:1n9)	LC/MS Neg	1087	6355.6	337.3112	5281116	112-86-7	HMDB02068	C08316
20699	erythritol	Xenobiotics	Food Component/Plant	erythritol	LC/MS Polar	100000846	1491	167.0561	222285	149-32-6	HMDB02994	C00503
42420	erythronate*	Carbohydrate	Aminosugar Metabolism	erythronate*	LC/MS Polar	100001320	2186	135.0299	2781043	88759-55-1	HMDB00613	
63152	ethyl alpha-glucopyranoside	Xenobiotics	Food Component/Plant	ethyl alpha-glucopyranoside	LC/MS Pos Early	100015965	1248	226.1285	428040	34625-23-5		
64131	ethyl beta-glucopyranoside	Xenobiotics	Food Component/Plant	ethyl beta-glucopyranoside	LC/MS Neg	100020377	1519	207.0874	121667			
15765	ethylmalonate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	ethylmalonate	LC/MS Polar	2054	2785	131.035	11756	601-75-2	HMDB00622	
47112	etiocholanolone glucuronide	Lipid	Androgenic Steroids	etiocholanolone glucuronide	LC/MS Neg	100005403	4915	465.2494	270605	9/3/02	HMDB04484	
43493	formiminoglutamate	Amino Acid	Histidine Metabolism	formiminoglutamate	LC/MS Pos Early	100002500	1880	175.0713	439233	816-90-0	HMDB00854	C00439
48195	fructose	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	fructose	LC/MS Polar	878	2065	225.0616	5984	57-48-7	HMDB00660	C00095
46227	fructosyllysine	Amino Acid	Lysine Metabolism	fructosyllysine	LC/MS Pos Early	100005373	2784	309.1656	123708	21291-40-7		
1643	fumarate	Energy	TCA Cycle	fumarate	LC/MS Polar	330	3084	115.0037	444972	100-17-8	HMDB00134	C00122
38686	gabapentin	Xenobiotics	Drug - Neurological	gabapentin	LC/MS Pos Early	100002806	3123	172.1332	3446	60142-96-3	HMDB05015	D00332
27719	galactonate	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	galactonate	LC/MS Polar	100001026	3085	195.051	128869	299-28-5	HMDB00565	C00880
44876	gamma-CEHC	Cofactors and Vitamins	Tocopherol Metabolism	gamma-CEHC	LC/MS Neg	100002094	3843	263.1289	133098	178167-75-4	HMDB01931	
55015	gamma-glutamyl-alpha-lysine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamyl-alpha-lysine	LC/MS Pos Early	100010901	2784	276.1554	65254			
33934	gamma-glutamyl-epsilon-lysine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamyl-epsilon-lysine	LC/MS Pos Early	100001262	2725	276.1554	7015685	17105-15-6	HMDB03869	
37063	gamma-glutamylalanine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylalanine	LC/MS Pos Early	100001843	1986	219.0976	440103	5875-41-2	HMDB29142	
36738	gamma-glutamylglutamate	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylglutamate	LC/MS Pos Early	331	1775	277.103	92865	1116-22-9	HMDB11737	C05282
2730	gamma-glutamylglutamine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylglutamine	LC/MS Pos Early	1140	1430	276.119	150914	10148-81-9	HMDB11738	C05283
33949	gamma-glutamylglycine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylglycine	LC/MS Pos Early	100001294	1535	205.0819	165527	1948-29-4	HMDB11667	
18245	gamma-glutamylhistidine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylhistidine	LC/MS Pos Early	1235	2740	285.1194	7017195	37460-15-4		
34457	gamma-glutamylisoleucine*	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylisoleucine*	LC/MS Neg	100001485	1600	259.1299	14253342		HMDB11170	
18369	gamma-glutamylleucine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylleucine	LC/MS Neg	1268	1685	259.1299	151023	2566-39-4	HMDB11171	
44872	gamma-glutamylmethionine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylmethionine	LC/MS Pos Early	100001313	2640	279.1009	7009567	17663-87-5	HMDB29155	
33422	gamma-glutamylphenylalanine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylphenylalanine	LC/MS Neg	100000491	1825	293.1143	111299	7432-24-8	HMDB00594	
33364	gamma-glutamylthreonine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylthreonine	LC/MS Pos Early	100001314	1750	249.1081	76078708	5652-48-2	HMDB29159	
33947	gamma-glutamyltryptophan	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamyltryptophan	LC/MS Neg	100001295	1960	332.1252	3989307	66471-20-3	HMDB29160	
2734	gamma-glutamyltyrosine	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamyltyrosine	LC/MS Pos Early	1102	2518	311.1238	94340	7432-23-7	HMDB11741	
43829	gamma-glutamylvaline	Peptide	Gamma-glutamyl Amino Acid	gamma-glutamylvaline	LC/MS Pos Early	100001126	2700	247.1289	7015683	2746-34-1	HMDB11172	
52473	gamma-tocopherol/beta-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	gamma-tocopherol/beta-tocopherol	LC/MS Pos Late	100008998	2384	416.3643				
18280	gentisate	Amino Acid	Tyrosine Metabolism	gentisate	LC/MS Polar	100000447	905	153.0193	3469	490-79-9	HMDB00152	C00628
63699	GlcNAc sulfate conjugate of C21H34O2 steroid	Partially Characterized Molecules	Partially Characterized Molecules	GlcNAc sulfate conjugate of C21H34O2 steroid	LC/MS Neg	100021726	4336.7	299.6386				
587	gluconate	Xenobiotics	Food Component/Plant	gluconate	LC/MS Polar	338	2922	195.051	10690	527-07-1	HMDB00625	C00257
48152	glucose	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	glucose	LC/MS Polar	572	2342	225.0616	5793	50-99-7	HMDB00122	C00031
15443	glucuronate	Carbohydrate	Aminosugar Metabolism	glucuronate	LC/MS Polar	100000257	3233.3	193.0354	444791	207300-70-7	HMDB00127	C00191
61887	glucuronide of C10H18O2 (7)*	Partially Characterized Molecules	Partially Characterized Molecules	glucuronide of C10H18O2 (7)*	LC/MS Neg	100020014	3790	345.1555				
62291	glucuronide of piperine metabolite C17H21NO3 (4)*	Xenobiotics	Food Component/Plant	glucuronide of piperine metabolite C17H21NO3 (4)*	LC/MS Neg	100020492	3992	462.177				
57	glutamate	Amino Acid	Glutamate Metabolism	glutamate	LC/MS Pos Early	561	1500	148.0604	611	56-86-0	HMDB00148	C00025
53	glutamine	Amino Acid	Glutamate Metabolism	glutamine	LC/MS Pos Early	563	1291	147.0764	5961	56-85-9	HMDB00641	C00064
63657	glutamine conjugate of C6H10O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	glutamine conjugate of C6H10O2 (1)*	LC/MS Neg	100020261	2404	241.1194				
63660	glutamine conjugate of C6H10O2 (2)*	Partially Characterized Molecules	Partially Characterized Molecules	glutamine conjugate of C6H10O2 (2)*	LC/MS Neg	100020262	2526	241.1194				
63658	glutamine conjugate of C7H12O2*	Partially Characterized Molecules	Partially Characterized Molecules	glutamine conjugate of C7H12O2*	LC/MS Neg	100020259	3053	255.135				
396	glutarate (C5-DC)	Lipid	"Fatty Acid, Dicarboxylate"	glutarate (C5-DC)	LC/MS Polar	339	2900	131.035	743	110-94-1	HMDB00661	C00489
44664	glutarylcarnitine (C5-DC)	Amino Acid	Lysine Metabolism	glutarylcarnitine (C5-DC)	LC/MS Pos Early	100001593	2393	276.1442	71464488	102636-82-8	HMDB13130	
1572	glycerate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	glycerate	LC/MS Polar	1052	2070.4	105.0193	752	600-19-1	HMDB00139	C00258
15122	glycerol	Lipid	Glycerolipid Metabolism	glycerol	LC/MS Neg	1254	758	91.0401	753	56-81-5	HMDB00131	C00116
43847	glycerol 3-phosphate	Lipid	Glycerolipid Metabolism	glycerol 3-phosphate	LC/MS Pos Early	100000258	580	173.021	754	29849-82-9	HMDB00126	C00093
37455	glycerophosphoethanolamine	Lipid	Phospholipid Metabolism	glycerophosphoethanolamine	LC/MS Pos Early	100001620	659	216.0632	123874	33049-08-0	HMDB00114	C01233
48857	glycerophosphoglycerol	Lipid	Glycerolipid Metabolism	glycerophosphoglycerol	LC/MS Polar	100001619	2430	245.0432	439964			C03274
47155	glycerophosphoinositol*	Lipid	Phospholipid Metabolism	glycerophosphoinositol*	LC/MS Polar	100001621	3850	333.0592	167572	16824-65-0		
15990	glycerophosphorylcholine (GPC)	Lipid	Phospholipid Metabolism	glycerophosphorylcholine (GPC)	LC/MS Pos Early	100000269	672	258.1101	71920	28319-77-9	HMDB00086	C00670
58	glycine	Amino Acid	"Glycine, Serine and Threonine Metabolism"	glycine	LC/MS Pos Early	340	1375	76.0393	750	56-40-6	HMDB00123	C00037
62146	glycine conjugate of C10H14O2 (1)*	Partially Characterized Molecules	Partially Characterized Molecules	glycine conjugate of C10H14O2 (1)*	LC/MS Neg	100020254	4335	222.1136				
62066	glyco-beta-muricholate	Lipid	Primary Bile Acid Metabolism	glyco-beta-muricholate	LC/MS Neg	100020214	4762	464.3018				
32346	glycochenodeoxycholate	Lipid	Primary Bile Acid Metabolism	glycochenodeoxycholate	LC/MS Neg	1628	5236.1	448.3068	12544	16564-43-5	HMDB00637	C05466
52974	glycochenodeoxycholate 3-sulfate	Lipid	Primary Bile Acid Metabolism	glycochenodeoxycholate 3-sulfate	LC/MS Neg	100006641	4820	263.6282				
52983	glycochenodeoxycholate glucuronide (1)	Lipid	Primary Bile Acid Metabolism	glycochenodeoxycholate glucuronide (1)	LC/MS Neg	100009264	4806	311.6658				
18476	glycocholate	Lipid	Primary Bile Acid Metabolism	glycocholate	LC/MS Neg	342	5163	464.3018	10140	475-31-0;863-57-0	HMDB00138	C01921
32599	glycocholenate sulfate*	Lipid	Secondary Bile Acid Metabolism	glycocholenate sulfate*	LC/MS Neg	100001989	4750	254.6229				
18477	glycodeoxycholate	Lipid	Secondary Bile Acid Metabolism	glycodeoxycholate	LC/MS Neg	100000436	5281	448.3068	3035026	360-65-6	HMDB00631	C05464
52975	glycodeoxycholate 3-sulfate	Lipid	Secondary Bile Acid Metabolism	glycodeoxycholate 3-sulfate	LC/MS Neg	100006642	4875	263.6282				
42574	glycohyocholate	Lipid	Secondary Bile Acid Metabolism	glycohyocholate	LC/MS Neg	100004083	5020	464.3018				
31912	glycolithocholate	Lipid	Secondary Bile Acid Metabolism	glycolithocholate	LC/MS Neg	100001064	5357.1	432.3119	115245	474-74-8	HMDB00698	C15557
32620	glycolithocholate sulfate*	Lipid	Secondary Bile Acid Metabolism	glycolithocholate sulfate*	LC/MS Neg	100001657	5011	255.6307	72222	15324-64-8	HMDB02639	C11301
39379	glycoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	glycoursodeoxycholate	LC/MS Neg	100002911	5033	448.3068	12310288	64480-66-6	HMDB00708	
63731	glycoursodeoxycholic acid sulfate (1)	Lipid	Secondary Bile Acid Metabolism	glycoursodeoxycholic acid sulfate (1)	LC/MS Neg	100020819	4309	263.6282				
46111	guaiacol sulfate	Xenobiotics	Benzoate Metabolism	guaiacol sulfate	LC/MS Neg	100004208	2344	203.002	22473		HMDB60013	
43802	guanidinoacetate	Amino Acid	Creatine Metabolism	guanidinoacetate	LC/MS Polar	344	2884	116.0466	763	352-97-6	HMDB00128	C00581
46957	gulonate*	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	gulonate*	LC/MS Polar	100001586	2750	195.051	152304	20246-53-1	HMDB03290	C00257
41754	heme	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	heme	LC/MS Pos Late	100001386	1124	616.1762	26945	14875-96-8	HMDB03178	C00032
1644	heptanoate (7:0)	Lipid	Medium Chain Fatty Acid	heptanoate (7:0)	LC/MS Neg	925	3670	129.0921	8094	111-14-8	HMDB00666	C17714
61866	heptenedioate (C7:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	heptenedioate (C7:1-DC)*	LC/MS Polar	100019981	2816	157.0506				
57652	hexadecadienoate (16:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	hexadecadienoate (16:2n6)	LC/MS Neg	100009394	5398	251.2017	13932172	28290-73-5	HMDB00477	
35678	hexadecanedioate (C16)	Lipid	"Fatty Acid, Dicarboxylate"	hexadecanedioate (C16)	LC/MS Neg	100001614	4615	285.2071	10459	505-54-4	HMDB00672	C19615
61862	hexadecenedioate (C16:1-DC)*	Lipid	"Fatty Acid, Dicarboxylate"	hexadecenedioate (C16:1-DC)*	LC/MS Neg	100019975	4380	283.1915				
32328	hexanoylcarnitine (C6)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	hexanoylcarnitine (C6)	LC/MS Pos Early	100000781	3358	260.1856	6426853	6920-35-0	HMDB00705	
54907	hexanoylglutamine	Lipid	Fatty Acid Metabolism (Acyl Glutamine)	hexanoylglutamine	LC/MS Neg	100001733	2780	243.135				
15753	hippurate	Xenobiotics	Benzoate Metabolism	hippurate	LC/MS Neg	100000014	2106.9	178.051	464	495-69-2	HMDB00714	C01586
59	histidine	Amino Acid	Histidine Metabolism	histidine	LC/MS Neg	355	755.9	154.0622	6274	5934-29-2	HMDB00177	C00135
22137	homoarginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	homoarginine	LC/MS Pos Early	100000961	2882	189.1346	9085	156-86-5	HMDB00670	C01924
22138	homocitrulline	Amino Acid	Urea cycle; Arginine and Proline Metabolism	homocitrulline	LC/MS Polar	100000963	3006.8	188.1041	65072	1190-49-4	HMDB00679	C02427
33009	homostachydrine*	Xenobiotics	Food Component/Plant	homostachydrine*	LC/MS Pos Early	100001550	1750	158.1176	441447	1195-94-4	HMDB33433	C08283
1101	homovanillate (HVA)	Amino Acid	Tyrosine Metabolism	homovanillate (HVA)	LC/MS Neg	117	1649	181.0506	1738	306-08-1	HMDB00118	C05582
40473	hydantoin-5-propionate	Amino Acid	Histidine Metabolism	hydantoin-5-propionate	LC/MS Polar	100002514	2080	171.0411	782	5624-26-0	HMDB01212	C05565
35322	hydroquinone sulfate	Xenobiotics	Drug - Topical Agents	hydroquinone sulfate	LC/MS Neg	100001604	1395	188.9863	161220	123-31-9	HMDB02434	C00530
62277	hydroxy-CMPF*	Lipid	"Fatty Acid, Dicarboxylate"	hydroxy-CMPF*	LC/MS Neg	100019794	1516	255.0874				
62959	"hydroxy-N6,N6,N6-trimethyllysine*"	Amino Acid	Lysine Metabolism	"hydroxy-N6,N6,N6-trimethyllysine*"	LC/MS Pos Early	100021123	2759	205.1547				
62060	hydroxyasparagine	Amino Acid	Alanine and Aspartate Metabolism	hydroxyasparagine	LC/MS Pos Early	100020205	1149	149.0557	97663		HMDB32332	C03124
34093	hyocholate	Lipid	Secondary Bile Acid Metabolism	hyocholate	LC/MS Neg	100001279	5046	407.2803	92805	547-75-1	HMDB00760	C17649
590	hypotaurine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	hypotaurine	LC/MS Polar	358	2763.4	108.0125	107812	300-84-5	HMDB00965	C00519
3127	hypoxanthine	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	hypoxanthine	LC/MS Pos Early	171	1295	137.0458	790	68-94-0	HMDB00157	C00262
32426	I-urobilinogen	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	I-urobilinogen	LC/MS Neg	100001226	4190	591.3188	26818	14684-37-8	HMDB04157	C05790
15716	imidazole lactate	Amino Acid	Histidine Metabolism	imidazole lactate	LC/MS Pos Early	100000263	2040	157.0608	793	14403-45-3	HMDB02320	C05568
40730	imidazole propionate	Amino Acid	Histidine Metabolism	imidazole propionate	LC/MS Pos Early	100003434	2263	141.0659	70630	1074-59-5	HMDB02271	
21025	iminodiacetate (IDA)	Xenobiotics	Chemical	iminodiacetate (IDA)	LC/MS Pos Early	100000900	830	134.0448	8897	142-73-4	HMDB11753	C19911
27513	indoleacetate	Amino Acid	Tryptophan Metabolism	indoleacetate	LC/MS Neg	100001034	2200	174.0561	802	6505-45-9	HMDB00197	C00954
62279	indoleacetoylcarnitine*	Amino Acid	Tryptophan Metabolism	indoleacetoylcarnitine*	LC/MS Pos Early	100020479	3114	319.1652				
18349	indolelactate	Amino Acid	Tryptophan Metabolism	indolelactate	LC/MS Neg	100000463	2286	204.0666	92904	832-97-3	HMDB00671	C02043
32405	indolepropionate	Amino Acid	Tryptophan Metabolism	indolepropionate	LC/MS Neg	100001083	2795	188.0717	3744	830-96-6	HMDB02302	
1123	inosine	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	inosine	LC/MS Neg	361	1602.1	267.0735	6021	58-63-9	HMDB00195	C00294
2133	inosine 5'-monophosphate (IMP)	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	inosine 5'-monophosphate (IMP)	LC/MS Pos Early	362	650	349.0544	8582	4691-65-0	HMDB00175	C00130
33441	isobutyrylcarnitine (C4)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	isobutyrylcarnitine (C4)	LC/MS Pos Early	100001055	2810	232.1543	168379	25518-49-4	HMDB00736	
22273	isocaproate (i6:0)	Lipid	"Fatty Acid, Branched"	isocaproate (i6:0)	LC/MS Neg	100000806	2570	115.0765	12587	646-07-1	HMDB00689	
1125	isoleucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	isoleucine	LC/MS Pos Early	376	2800	132.1019	6306	73-32-5	HMDB00172	C00407
40008	isoleucylglycine	Peptide	Dipeptide	isoleucylglycine	LC/MS Neg	100003169	1992	187.1088	342532	868-28-0	HMDB28907	
57577	isoursodeoxycholate	Lipid	Secondary Bile Acid Metabolism	isoursodeoxycholate	LC/MS Neg	100002488	4809	391.2854	127601	78919-26-3	HMDB00686	C17662
44656	isovalerate (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	isovalerate (C5)	LC/MS Neg	100000708	1564	101.0608	10430	503-74-2	HMDB00718	C08262
34407	isovalerylcarnitine (C5)	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	isovalerylcarnitine (C5)	LC/MS Pos Early	100001393	3085	246.17	6426851	31023-24-2	HMDB00688	
35107	isovalerylglycine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	isovalerylglycine	LC/MS Neg	100001452	1950	158.0823	546304	16284-60-9	HMDB00678	
1417	kynurenate	Amino Acid	Tryptophan Metabolism	kynurenate	LC/MS Neg	98	2224	188.0353	3845	492-27-3	HMDB00715	C01717
15140	kynurenine	Amino Acid	Tryptophan Metabolism	kynurenine	LC/MS Pos Early	100000265	2739	209.0921	161166	2922-83-0	HMDB00684	C00328
527	lactate	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	lactate	LC/MS Neg	482	681.6	89.0244	612	79-33-4	HMDB00190	C00186
63048	lactobacillic acid	Xenobiotics	Bacterial/Fungal	lactobacillic acid	LC/MS Neg	100021065	5822	295.2643	10417	503-06-0		
42002	lanthionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	lanthionine	LC/MS Pos Early	100003892	1730	209.0591	98504	8/2/83		
1645	laurate (12:0)	Lipid	Medium Chain Fatty Acid	laurate (12:0)	LC/MS Neg	181	5300	199.1704	3893	143-07-7	HMDB00638	C02679
34534	laurylcarnitine (C12)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	laurylcarnitine (C12)	LC/MS Pos Late	100001392	1235	344.2795	10427569	25518-54-1	HMDB02250	
60	leucine	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	leucine	LC/MS Pos Early	397	2864	132.1019	6106	61-90-5		
40010	leucylalanine	Peptide	Dipeptide	leucylalanine	LC/MS Pos Early	100003179	2801	203.139	259321	7298-84-2	HMDB28922	
57515	lignoceroylcarnitine (C24)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	lignoceroylcarnitine (C24)*	LC/MS Pos Late	100015834	1603	512.4673				
1105	linoleate (18:2n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	linoleate (18:2n6)	LC/MS Neg	180	5535	279.233	5280450	60-33-3	HMDB00673	C01595
34035	linolenate (18:3n3 or 3n6)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	linolenate (18:3n3 or 3n6)	LC/MS Neg	100001337	5450	277.2173	5280934		HMDB03073	C06426
57511	linolenoylcarnitine (C18:3)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	linolenoylcarnitine (C18:3)*	LC/MS Pos Late	100015831	1310	422.3265				
52608	linoleoyl ethanolamide	Lipid	Endocannabinoid	linoleoyl ethanolamide	LC/MS Neg	100006726	6150	322.2752	5283446	68171-52-8	HMDB12252	
46223	linoleoylcarnitine (C18:2)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)"	linoleoylcarnitine (C18:2)*	LC/MS Pos Late	100003151	1430	424.3421	6450015	36816-10-1	HMDB06469	
57463	linoleoylcholine*	Lipid	Fatty Acid Metabolism (Acyl Choline)	linoleoylcholine*	LC/MS Pos Late	100015760	1388	366.3367				
62526	lithocholate sulfate (1)	Lipid	Secondary Bile Acid Metabolism	lithocholate sulfate (1)	LC/MS Neg	100020823	4811	227.12				
1301	lysine	Amino Acid	Lysine Metabolism	lysine	LC/MS Pos Early	407	2850	147.1128	5962	56-87-1	HMDB00182	C00047
1303	malate	Energy	TCA Cycle	malate	LC/MS Neg	409	615.6	133.0143	525	6915-15-7	HMDB00156	C00149
20676	maleate	Lipid	"Fatty Acid, Dicarboxylate"	maleate	LC/MS Polar	100000707	2640	115.0037	444266	110-16-7	HMDB00176	C01384
15872	malonate	Lipid	Fatty Acid Synthesis	malonate	LC/MS Polar	818	3447	103.0037	867	141-82-2;26522-22-85-0	HMDB00691	C00383
15586	maltose	Carbohydrate	Glycogen Metabolism	maltose	LC/MS Neg	913	765	341.1089	10991489	6363-53-7	HMDB00163	C00208
46142	mannitol/sorbitol	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	mannitol/sorbitol	LC/MS Polar	100001740	2320	181.0718	5780		HMDB00247	C00794
62864	mannonate*	Xenobiotics	Food Component/Plant	mannonate*	LC/MS Polar	100003695	2736	195.051	3246006	642-99-9		
48153	mannose	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	mannose	LC/MS Polar	803	2200	225.0616	18950	3458-28-4	HMDB00169	C00159
1121	margarate (17:0)	Lipid	Long Chain Saturated Fatty Acid	margarate (17:0)	LC/MS Neg	891	5731	269.2486	10465	506-12-7	HMDB02259	
57512	margaroylcarnitine (C17)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	margaroylcarnitine (C17)*	LC/MS Pos Late	100004054	1424	414.3578		106182-29-0	HMDB06210	
35174	mead acid (20:3n9)	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	mead acid (20:3n9)	LC/MS Neg	100001472	5650	305.2486	5312531	20590-32-3	HMDB10378	
63153	metabolonic lactone sulfate	Partially Characterized Molecules	Partially Characterized Molecules	metabolonic lactone sulfate	LC/MS Neg	100021331	4802	427.216				
1302	methionine	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	methionine	LC/MS Pos Early	415	2526	150.0583	6137	63-68-3	HMDB00696	C00073
44878	methionine sulfone	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	methionine sulfone	LC/MS Pos Early	100004635	1250	182.0482	69961	820-10-0		
18374	methionine sulfoxide	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	methionine sulfoxide	LC/MS Pos Early	100000039	1272	166.0533	158980	3226-65-1	HMDB02005	C02989
46144	methyl glucopyranoside (alpha + beta)	Xenobiotics	Food Component/Plant	methyl glucopyranoside (alpha + beta)	LC/MS Neg	100005864	1070	193.0718				
48429	methyl-4-hydroxybenzoate sulfate	Xenobiotics	Benzoate Metabolism	methyl-4-hydroxybenzoate sulfate	LC/MS Neg	100006116	2873	230.9969				
1496	methylmalonate (MMA)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	methylmalonate (MMA)	LC/MS Polar	418	3078.4	117.0193	487	516-05-2	HMDB00202	C02170
54796	methylphenidate	Xenobiotics	Drug - Neurological	methylphenidate	LC/MS Pos Late	100009391	795	234.1489	4158		HMDB14566	C07196
15745	methylsuccinate	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	methylsuccinate	LC/MS Polar	2051	2800	131.035	10349	498-21-5	HMDB01844	
1124	myo-inositol	Lipid	Inositol Metabolism	myo-inositol	LC/MS Polar	363	3506.3	225.0616	892	87-89-8	HMDB00211	C00137
1365	myristate (14:0)	Lipid	Long Chain Saturated Fatty Acid	myristate (14:0)	LC/MS Neg	519	5440	227.2017	11005	544-63-8	HMDB00806	C06424
32418	myristoleate (14:1n5)	Lipid	Long Chain Monounsaturated Fatty Acid	myristoleate (14:1n5)	LC/MS Neg	100001198	5346.9	225.186	5281119	544-64-9	HMDB02000	C08322
48182	myristoleoylcarnitine (C14:1)*	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)"	myristoleoylcarnitine (C14:1)*	LC/MS Pos Late	100006051	1316	370.2947	90659872	889848-55-9		
33952	myristoylcarnitine (C14)	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	myristoylcarnitine (C14)	LC/MS Pos Late	100001270	1350	372.3108	6426854	18822-89-4	HMDB05066	
57687	"N,N,N-trimethyl-5-aminovalerate"	Amino Acid	Lysine Metabolism	"N,N,N-trimethyl-5-aminovalerate"	LC/MS Pos Early	100015962	2186	160.1332	14274897			
